Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
UZUNGECIT-ULUDERE (SIRNAK) [  .35 KM],1,4.2,4.2,6.2
UNBULAK-TUZLUCA (IGDIR) [SOUTH EAST  3.2 KM],1,4.9,4.9,30.0
UMUTLU-EMET (KÜTAHYA) [SOUTH WEST  5.4 KM],1,4.1,4.1,34.0
UMUTLU-EMET (KÜTAHYA) [SOUTH WEST  5.0 KM],1,4.4,4.4,16.0
UMUTLU-EMET (KÜTAHYA) [SOUTH WEST  3.8 KM],1,4.5,4.5,21.0
UMUTLU-EMET (KÜTAHYA) [SOUTH WEST  2.5 KM],1,4.6,4.6,21.0
ULASLAR-HISARCIK (KÜTAHYA) [SOUTH WEST  1.8 KM],1,4.2,4.2,20.0
UGURLUDAG (ÇORUM) [SOUTH 3.6 KM],1,4.3,4.3,6.1
UGURLUCA-GEDIZ (KÜTAHYA) [NORTH WEST  0.5 KM],1,4.3,4.3,59.0
UGURLAR- (BARTIN) [SOUTH WEST  0.8 KM],1,4.0,4.0,33.0
YENICEARMUTCUK-CAVDARHISAR (KÜTAHYA) [SOUTH EAST  1.7 KM],1,4.4,4.4,21.0
YENIGUNEY-GEDIZ (KÜTAHYA) [SOUTH 2.5 KM],1,4.5,4.5,11.0
SENKOY-CINARCIK (YALOVA) [SOUTH EAST  1.3 KM],1,4.8,4.8,10.0
YENIKOY-EZINE (ÇANAKKALE) [SOUTH WEST  1.5 KM],1,4.0,4.0,10.0
ÇORUM (ÇORUM) [EAST 2.8 KM],1,4.5,4.5,8.5
ÇINARCIK AÇIKLARI-YALOVA (MARMARA DENIZI),1,4.0,4.0,13.0
ÇANKIRI (ÇANKIRI) [WEST 1.4 KM],1,4.8,4.8,30.0
ZAFERTEPECALKOY-ALTINTAS (KÜTAHYA) [EAST 0.3 KM],1,4.2,4.2,35.0
YUYLUK-DUMLUPINAR (KÜTAHYA) [SOUTH WEST  1.4 KM],1,4.2,4.2,49.0
YUYLUK-DUMLUPINAR (KÜTAHYA) [NORTH EAST  2.4 KM],1,4.4,4.4,33.0
YUYLUK-DUMLUPINAR (KÜTAHYA) [NORTH EAST  2.1 KM],1,4.7,4.7,26.0
YUNUSLAR-GEDIZ (KÜTAHYA) [NORTH WEST  4.1 KM],1,4.6,4.6,34.0
YUNUSLAR-GEDIZ (KÜTAHYA) [NORTH 1.8 KM],1,4.1,4.1,6.0
